day,p05,p25,p50,p75,p95,mean
183,34.939857927829685,57.93351934757249,83.8980645054227,120.2847246853973,203.65791654984085,96.7629190562899
184,34.768071242417925,57.935929811427044,83.80446546132418,120.48166673871691,204.10285489511966,96.77127035960095
185,34.74146280195635,57.78075327473843,83.78335125671867,120.55670035705366,204.8210161480762,96.82705371912789
186,34.659260863796405,57.829335685981405,83.63850771664673,120.55198935249666,204.77837575375958,96.87970468245473
187,34.51557297137253,57.78226144512408,83.75626786682336,120.56721197596778,204.6070357738229,96.83349822882802
188,34.4101139805404,57.59284239195004,83.68355858254989,120.67542603767367,205.0322518039829,96.78950626174266
189,34.24187536348443,57.482608452966616,83.66825891497902,120.82265398529739,205.37733940115322,96.75823440542077
190,34.13212208614687,57.42115481882942,83.55386174343718,120.5986169663338,205.9035355489741,96.7683908279563
191,34.08289465068471,57.25483027492023,83.61880115466847,120.64784017953116,205.84746025840835,96.74783558912209
192,33.961508684487704,57.35893354526534,83.5341459743639,120.67934895494912,206.07263434127202,96.69935861248992
193,33.83164668306977,57.203439986343966,83.44378699564885,120.7553633263331,207.1730879747834,96.69095476803973
194,33.75311158907134,57.130862984047496,83.32851662622338,120.86369436177606,207.38017109339847,96.76915514027137
195,33.598811988192416,57.0061707144723,83.2298417313399,120.82735119321146,207.24158525381986,96.77900307729357
196,33.55617429085175,57.01860451063122,83.20332542515746,120.96979653964685,208.02086822403993,96.79379013297542
197,33.423385275511144,56.8556043693828,83.24479297111506,120.80691053996905,207.72994073414824,96.79718536402308
198,33.57121833400043,56.80476610502985,83.123889560169,120.70036786205932,208.3188803399474,96.82514421599068
199,33.335472342218594,56.737704041995144,83.17047457217998,120.97789616059316,207.8503630836437,96.85933436599883
200,33.08601055143932,56.613098400119384,83.15539674644387,121.17458851897803,207.82820362853977,96.93564522227243
201,33.0461634736029,56.481215137663725,83.06439551654508,121.14555126335856,208.56891276326004,96.98221796390705
202,32.975458701252606,56.46103621703749,83.12973089454717,121.1740517293747,207.4776837374567,96.94596646861903
203,32.8462043815285,56.25362604488854,82.978910686036,121.39372917119235,208.63267223371633,96.97378412617815
